code,code_value,code_desc,lkup_code,lkup_value,lkup_desc
ADJ_PRVDR_DSGNN_CD,202,Aexcel Non-Designated,,,
ADJ_PRVDR_DSGNN_CD,NA,Aexcel Not Applicable,,,
ADJ_PRVDR_DSGNN_CD,201,Aexcel Designated,,,
AEX_PLAN_DSGN_CD,B,Both Incentive and Disincentive Plan Design,,,
AEX_PLAN_DSGN_CD,D,Disincentive Plan Design,,,
AEX_PLAN_DSGN_CD,I,Incentive Plan Design,,,
AEX_PLAN_DSGN_CD,N,Aexcel Not Applicable,,,
AEX_PRVDR_SPCTG_CD,XNSR,Aexcel Neurosurgery,,,
AEX_PRVDR_SPCTG_CD,XCTS,Aexcel Cardio Thoracic Surgery,,,
AEX_PRVDR_SPCTG_CD,XVAS,Aexcel Vascular Surgery,,,
AEX_PRVDR_SPCTG_CD,XCAR,Aexcel Cardiology,,,
AEX_PRVDR_SPCTG_CD,XORT,Aexcel Orthopedics,,,
AEX_PRVDR_SPCTG_CD,NA,Aexcel Not Applicable,,,
AEX_PRVDR_SPCTG_CD,XPLS,Aexcel Plastic Surgery,,,
AEX_PRVDR_SPCTG_CD,XNPH,Aexcel Nephrology,,,
AEX_PRVDR_SPCTG_CD,XURO,Aexcel Urology,,,
AEX_PRVDR_SPCTG_CD,XOBG,Aexcel Obstetrics-Gynecology,,,
AEX_PRVDR_SPCTG_CD,XGST,Aexcel Gastroenterology,,,
AEX_PRVDR_SPCTG_CD,XSUR,Aexcel Surgery,,,
AEX_PRVDR_SPCTG_CD,XOTL,Aexcel Otolaryngolgy,,,
AEX_PRVDR_SPCTG_CD,XNEL,Aexcel Neurology,,,
BENEFIT_TIER_CD,01,Aexcel Disincentive In-Network Tier 1,,,
BENEFIT_TIER_CD,07,Aexcel Plus Combo In-Network Tier 2,,,
BENEFIT_TIER_CD,14,Aexcel Plus Incentive In-Network Tier 2,,,
BENEFIT_TIER_CD,13,Aexcel Plus Incentive In-Network Tier 1,,,
BENEFIT_TIER_CD,10,Aexcel Incentive In-Network Tier 1,,,
BENEFIT_TIER_CD,05,Aexcel Plus Disincentive Out of Network,,,
BENEFIT_TIER_CD,12,Aexcel Incentive Out of Network,,,
BENEFIT_TIER_CD,11,Aexcel Incentive In-Network Tier 2,,,
